,Year,Ranking,Group,Team,Matches Played,Matches Won,Matches Drawn,Matches Lost,Goals For,Goals Against,Goal Difference,Points,Result
0,1978,1,1/B,Argentina,7,5,1,1,15,4,+11,11,Champion
1,1978,2,4/A,Netherlands,7,3,2,2,15,10,+5,8,Runners-up
2,1978,3,3/B,Brazil,7,4,3,0,10,3,+7,11,Third place
3,1978,4,1/A,Italy,7,4,1,2,9,6,+3,9,Fourth place
4,1978,5,2/B,Poland,6,3,1,2,6,6,0,7,Eliminatedin thesecond group stage
5,1978,6,2/A,West Germany,6,1,4,1,10,5,+5,6,
6,1978,7,3/A,Austria,6,3,0,3,7,10,−3,6,
7,1978,8,4/B,Peru,6,2,1,3,7,12,−5,5,
8,1978,9,2,Tunisia,3,1,1,1,3,2,+1,3,Eliminatedin thefirst group stage
9,1978,10,3,Spain,3,1,1,1,2,2,0,3,
10,1978,11,4,Scotland,3,1,1,1,5,6,−1,3,
11,1978,12,1,France,3,1,0,2,5,5,0,2,
12,1978,13,3,Sweden,3,0,1,2,1,3,−2,1,
13,1978,14,4,Iran,3,0,1,2,2,8,−6,1,
14,1978,15,1,Hungary,3,0,0,3,3,8,−5,0,
15,1978,16,2,Mexico,3,0,0,3,2,12,−10,0,
16,1990,1,D,West Germany,7,5,2,0,15,5,+10,12,1st
17,1990,2,B,Argentina,7,2,3,2,5,4,+1,7,2nd
18,1990,3,A,Italy,7,6,1,0,10,2,+8,13,3rd
19,1990,4,F,England,7,3,3,1,8,6,+2,9,4th
20,1990,5,D,Yugoslavia,5,3,1,1,8,6,+2,7,Eliminated in the quarter-finals
21,1990,6,A,Czechoslovakia,5,3,0,2,10,5,+5,6,
22,1990,7,B,Cameroon,5,3,0,2,7,9,−2,6,
23,1990,8,F,Republic of Ireland,5,0,4,1,2,3,−1,4,
24,1990,9,C,Brazil,4,3,0,1,4,2,+2,6,Eliminated in the round of 16
25,1990,10,E,Spain,4,2,1,1,6,4,+2,5,
26,1990,11,E,Belgium,4,2,0,2,6,4,+2,4,
27,1990,12,B,Romania,4,1,2,1,4,3,+1,4,
28,1990,13,C,Costa Rica,4,2,0,2,4,6,−2,4,
29,1990,14,D,Colombia,4,1,1,2,4,4,0,3,
30,1990,15,F,Netherlands,4,0,3,1,3,4,−1,3,
31,1990,16,E,Uruguay,4,1,1,2,2,5,−3,3,
32,1990,17,B,Soviet Union,3,1,0,2,4,4,0,2,Eliminated in the group stage
33,1990,18,A,Austria,3,1,0,2,2,3,−1,2,
34,1990,19,C,Scotland,3,1,0,2,2,3,−1,2,
35,1990,20,F,Egypt,3,0,2,1,1,2,−1,2,
36,1990,21,C,Sweden,3,0,0,3,3,6,−3,0,
37,1990,22,E,South Korea,3,0,0,3,1,6,−5,0,
38,1990,23,A,United States,3,0,0,3,2,8,−6,0,
39,1990,24,D,United Arab Emirates,3,0,0,3,2,11,−9,0,
40,2002,1,C,Brazil,7,7,0,0,18,4,+14,21,1st
41,2002,2,E,Germany,7,5,1,1,14,3,+11,16,2nd
42,2002,3,C,Turkey,7,4,1,2,10,6,+4,13,3rd
43,2002,4,D,South Korea,7,3,2,2,8,6,+2,11,4th
44,2002,5,B,Spain,5,3,2,0,10,5,+5,11,Eliminated inthe quarter-finals
45,2002,6,F,England,5,2,2,1,6,3,+3,8,
46,2002,7,A,Senegal,5,2,2,1,7,6,+1,8,
47,2002,8,D,United States,5,2,1,2,7,7,0,7,
48,2002,9,H,Japan,4,2,1,1,5,3,+2,7,Eliminated in the round of 16
49,2002,10,A,Denmark,4,2,1,1,5,5,0,7,
50,2002,11,G,Mexico,4,2,1,1,4,4,0,7,
51,2002,12,E,Republic of Ireland,4,1,3,0,6,3,+3,6,
52,2002,13,F,Sweden,4,1,2,1,5,5,0,5,
53,2002,14,H,Belgium,4,1,2,1,6,7,−1,5,
54,2002,15,G,Italy,4,1,1,2,5,5,0,4,
55,2002,16,B,Paraguay,4,1,1,2,6,7,−1,4,
56,2002,17,B,South Africa,3,1,1,1,5,5,0,4,Eliminated in the group stage
57,2002,18,F,Argentina,3,1,1,1,2,2,0,4,
58,2002,19,C,Costa Rica,3,1,1,1,5,6,−1,4,
59,2002,20,E,Cameroon,3,1,1,1,2,3,−1,4,
60,2002,21,D,Portugal,3,1,0,2,6,4,+2,3,
61,2002,22,H,Russia,3,1,0,2,4,4,0,3,
62,2002,23,G,Croatia,3,1,0,2,2,3,−1,3,
63,2002,24,G,Ecuador,3,1,0,2,2,4,−2,3,
64,2002,25,D,Poland,3,1,0,2,3,7,−4,3,
65,2002,26,A,Uruguay,3,0,2,1,4,5,−1,2,
66,2002,27,F,Nigeria,3,0,1,2,1,3,−2,1,
67,2002,28,A,France,3,0,1,2,0,3,−3,1,
68,2002,29,H,Tunisia,3,0,1,2,1,5,−4,1,
69,2002,30,B,Slovenia,3,0,0,3,2,7,−5,0,
70,2002,31,C,China,3,0,0,3,0,9,−9,0,
71,2002,32,E,Saudi Arabia,3,0,0,3,0,12,−12,0,
